Nivel;Cod;setores;Ano;tipo;Qtd;Temp_Max;TempMin;Media
BR;301;Tratamento de residuos;1990;CO2;19;14,34;12,65;13,495
BR;302;Tratamento de residuos;1990;CH4;1174;14,34;12,65;13,495
BR;303;Tratamento de residuos;1990;N2O;4;14,34;12,65;13,495
BR;304;Tratamento de residuos;1991;CO2;31;15,05;13,2;14,125
BR;305;Tratamento de residuos;1991;CH4;1220;15,05;13,2;14,125
BR;306;Tratamento de residuos;1991;N2O;4;15,05;13,2;14,125
BR;307;Tratamento de residuos;1992;CO2;54;14,43;12,5;13,465
BR;308;Tratamento de residuos;1992;CH4;1270;14,43;12,5;13,465
BR;309;Tratamento de residuos;1992;N2O;5;14,43;12,5;13,465
BR;310;Tratamento de residuos;1993;CO2;61;14,7;12,42;13,56
BR;311;Tratamento de residuos;1993;CH4;1314;14,7;12,42;13,56
BR;312;Tratamento de residuos;1993;N2O;5;14,7;12,42;13,56
BR;313;Tratamento de residuos;1994;CO2;66;14,88;11,99;13,435
BR;314;Tratamento de residuos;1994;CH4;1361;14,88;11,99;13,435
BR;315;Tratamento de residuos;1994;N2O;5;14,88;11,99;13,435
BR;316;Tratamento de residuos;1995;CO2;78;14,91;13,31;14,11
BR;317;Tratamento de residuos;1995;CH4;1419;14,91;13,31;14,11
BR;318;Tratamento de residuos;1995;N2O;5;14,91;13,31;14,11
BR;319;Tratamento de residuos;1996;CO2;78;14,24;12,9;13,57
BR;320;Tratamento de residuos;1996;CH4;1471;14,24;12,9;13,57
BR;321;Tratamento de residuos;1996;N2O;5;14,24;12,9;13,57
BR;322;Tratamento de residuos;1997;CO2;78;14,62;13,01;13,815
BR;323;Tratamento de residuos;1997;CH4;1530;14,62;13,01;13,815
BR;324;Tratamento de residuos;1997;N2O;5;14,62;13,01;13,815
BR;325;Tratamento de residuos;1998;CO2;84;14,9;13,55;14,225
BR;326;Tratamento de residuos;1998;CH4;1587;14,9;13,55;14,225
BR;327;Tratamento de residuos;1998;N2O;5;14,9;13,55;14,225
BR;328;Tratamento de residuos;1999;CO2;88;15,03;12,69;13,86
BR;329;Tratamento de residuos;1999;CH4;1684;15,03;12,69;13,86
BR;330;Tratamento de residuos;1999;N2O;6;15,03;12,69;13,86
BR;331;Tratamento de residuos;2000;CO2;95;15,36;12,84;14,1
BR;332;Tratamento de residuos;2000;CH4;1754;15,36;12,84;14,1
BR;333;Tratamento de residuos;2000;N2O;6;15,36;12,84;14,1
BR;334;Tratamento de residuos;2001;CO2;95;15,52;12,72;14,12
BR;335;Tratamento de residuos;2001;CH4;1799;15,52;12,72;14,12
BR;336;Tratamento de residuos;2001;N2O;6;15,52;12,72;14,12
BR;337;Tratamento de residuos;2002;CO2;99;15,84;13,04;14,44
BR;338;Tratamento de residuos;2002;CH4;1887;15,84;13,04;14,44
BR;339;Tratamento de residuos;2002;N2O;6;15,84;13,04;14,44
BR;340;Tratamento de residuos;2003;CO2;117;15,61;12,89;14,25
BR;341;Tratamento de residuos;2003;CH4;2002;15,61;12,89;14,25
BR;342;Tratamento de residuos;2003;N2O;6;15,61;12,89;14,25
BR;343;Tratamento de residuos;2004;CO2;120;15,48;12,96;14,22
BR;344;Tratamento de residuos;2004;CH4;2018;15,48;12,96;14,22
BR;345;Tratamento de residuos;2004;N2O;7;15,48;12,96;14,22
BR;346;Tratamento de residuos;2005;CO2;128;15,76;13,09;14,425
BR;347;Tratamento de residuos;2005;CH4;2062;15,76;13,09;14,425
BR;348;Tratamento de residuos;2005;N2O;7;15,76;13,09;14,425
BR;349;Tratamento de residuos;2006;CO2;136;15,36;13,22;14,29
BR;350;Tratamento de residuos;2006;CH4;2179;15,36;13,22;14,29
BR;351;Tratamento de residuos;2006;N2O;7;15,36;13,22;14,29
BR;352;Tratamento de residuos;2007;CO2;155;15,18;13,17;14,175
BR;353;Tratamento de residuos;2007;CH4;2242;15,18;13,17;14,175
BR;354;Tratamento de residuos;2007;N2O;7;15,18;13,17;14,175
BR;355;Tratamento de residuos;2008;CO2;159;15,03;13,12;14,075
BR;356;Tratamento de residuos;2008;CH4;2277;15,03;13,12;14,075
BR;357;Tratamento de residuos;2008;N2O;7;15,03;13,12;14,075
BR;358;Tratamento de residuos;2009;CO2;168;14,88;13,07;13,975
BR;359;Tratamento de residuos;2009;CH4;2336;14,88;13,07;13,975
BR;360;Tratamento de residuos;2009;N2O;7;14,88;13,07;13,975
BR;361;Tratamento de residuos;2010;CO2;175;14,73;13,05;13,89
BR;362;Tratamento de residuos;2010;CH4;2463;14,73;13,05;13,89
BR;363;Tratamento de residuos;2010;N2O;7;14,73;13,05;13,89
BR;364;Tratamento de residuos;2011;CO2;204;14,53;12,85;13,69
BR;365;Tratamento de residuos;2011;CH4;2544;14,53;12,85;13,69
BR;366;Tratamento de residuos;2011;N2O;7;14,53;12,85;13,69
BR;367;Tratamento de residuos;2012;CO2;227;15,45;13,47;14,46
BR;368;Tratamento de residuos;2012;CH4;2595;15,45;13,47;14,46
BR;369;Tratamento de residuos;2012;N2O;8;15,45;13,47;14,46
BR;370;Tratamento de residuos;2013;CO2;227;15,28;13,78;14,53
BR;371;Tratamento de residuos;2013;CH4;2754;15,28;13,78;14,53
BR;372;Tratamento de residuos;2013;N2O;8;15,28;13,78;14,53
BR;373;Tratamento de residuos;2014;CO2;227;14,96;13,22;14,09
BR;374;Tratamento de residuos;2014;CH4;2865;14,96;13,22;14,09
BR;375;Tratamento de residuos;2014;N2O;8;14,96;13,22;14,09
